Tiempo_s,Temperatura_C,Humedad_%,Estado_Foco
0.00,14.48,0.0,0
0.15,14.48,0.0,0
0.26,14.40,0.0,0
0.36,14.48,0.0,0
0.46,14.48,0.0,0
0.56,14.48,0.0,0
0.71,14.40,0.0,0
0.81,14.48,0.0,0
0.91,14.48,0.0,0
1.02,14.48,0.0,0
1.12,14.40,0.0,0
1.27,14.40,0.0,0
1.37,14.48,0.0,0
1.47,14.48,0.0,0
1.57,14.40,0.0,0
1.67,14.40,0.0,0
1.83,14.40,0.0,0
1.93,14.48,0.0,0
2.03,14.31,0.0,0
2.13,14.48,0.0,0
2.24,14.40,0.0,0
2.39,14.48,0.0,0
2.49,14.40,0.0,0
2.59,14.48,0.0,0
2.69,14.40,0.0,0
2.79,14.40,0.0,0
2.94,14.40,0.0,0
3.04,14.40,0.0,0
3.15,14.40,0.0,0
3.25,14.40,0.0,0
3.35,14.40,0.0,0
3.50,14.48,0.0,0
3.60,14.40,0.0,0
3.70,14.40,0.0,0
3.80,14.48,0.0,0
3.91,14.48,0.0,0
4.05,14.40,0.0,0
4.16,14.40,0.0,0
